,text,affect,Unnamed: 2,Unnamed: 3
3695,Factor Coming Back Yay!!!!!!!!,fear,,
3696,"krave is a disgusting cereal, the advert lies there is not chocolate in the middle ",anger,,
3697,is a friend that you misunderstood but I know the #heartoflife is good..,fear,,
3699,OH MY GOD! Bit slow but I've only just realised the 16th is only a week away! :O #nerves,fear,,
3700,"You're not afraid of the dark, you're afraid of what's in it. ",fear,,
3702,Feeling left out at guelph party ,sadness,,
3703,"It's like your lover or more like a ghost. I spend the day wondering what you do, where you go. ",fear,,
3704,False Evidence Appearing Real ,fear,,
3705,"Made me go through hell, when she and him were going through heaven. ",disgust,,
3707,Selling all of my old snowball dresses and my first homecoming dress  ):,sadness,,
3708,Don't ever feed into because it makes you lose sight of what's most important.,fear,,
3709,Teacher who prohibit their students for competition is just S.O.A.B!!!   ,anger,,
3710,My lip ring fell out ,anger,,
3711,The two people that get talked about the most in my Cross Cultural class are Lebron and Tebow.  ,disgust,,
3712,"Its so sad that after the national day fun, food, nice weather I walk back into Archi building back to work ",sadness,,
3714," truth comes out,  feelings come out wen is among you #BlackPPl",anger,,
3715,How ironic that the idiots who arrogantly claim to represent 99% of the populace are opposed by 99% of the populace?    ,disgust,,
3718,the awkward moment when victoria's secret isnt saying what their sale is gonna be. -.-,anger,,
3721,I hate weather days because I can't ever leave the house cause it's raining outside ,anger,,
3722, NO HOE NO BITCH!!!!!!&amp; THESE NIGHAZ BEEN OFF DA MAP IAM ON SUM OTHA SHIT..#GOD KNWS IAM:)BLESSED,fear,,
3723,I think it's time to move on and explore &quot;greener pasture&quot;. Scouting for a new job. What's a good company to work in?  ,disgust,,
3724,I cannot believe I'm going to leave TJ Maxx without those Kate Spade boots. I'm losing it. ,sadness,,
3725,I have never been so sad for the final lecture of a class. Life and Teachings of Jesus=best class ever! #mylifeisbethel,sadness,,
3726,False Evidence Appearing Real ,fear,,
3727,Forgetting that you've already eaten your advent calender chocolate and being very sad when you realise its gone ,sadness,,
3728, kidding. I made that mistake and now realize you'll never change. ,anger,,
3729,"Thank You Justin Bieber,because of you future generations are gonna be singing &quot;shawty&quot; at Xmas which isn't even a fucking word. ",anger,,
3730,"No material object  # pleasure, or #desire can exist within a present moment. I am free within present moment, with joy &amp; bliss",fear,,
3731,Sumpah gue rindu lo gue kangen lo hanyalah lo yg gue pikirin saat ini ,sadness,,
3732,American horror story wwhat are you doing to my HEAD ,sadness,,
3733,Wonder how almost a whole week at home will feel  ,fear,,
3735,Some Zimbabwe's citizens are afraid to talk of Mugabi on camera. ,fear,,
3737,No es tan pene la  pero.. EXTRAÑO LA MÍA ,sadness,,
3738,"Pa: 'ach, die is volgend jaar toch weer jarig?' ma: 'niet iedereen is volgend jaar weer jarig…' fijn, daar ging m'n eetlust ",sadness,,
3739,"Letting go is a slow process, however many have yet to even begin the process. of the unknown.",fear,,
3741,Når jeg er på bussen tidlig en lørdagsmorgen og det stinker mat over alt. ,disgust,,
3742,Gonna have an absoulute mental and emotional breakdown if them tickets are sold out :/ :(,sadness,,
3743,Well  is off to an awesome start. My car quit. And I mean QUIT. -.- ,sadness,,
3745,"I really don't like holidays, I miss my parents being together! Its just not the same ",sadness,,
3748,"america is the new north korea, china, germany and russia. we're the military controlled, self-spying, censoring paranoid antagonists. ",fear,,
3749,I am trying to stay strong for my lil banana but Idk how much more I can handle. ,fear,,
3750,People party like it's a religion -____- ,sadness,,
3751,"well, if your family has pork for dinner tomorrow, they may not be al qaeda, but listen for talk of insurrection and anyways.",fear,,
3752,Some people thrive off drama and say they have nothing to do with it. ,sadness,,
3753,Had my first real nightmare in years. Still trying to get my pulse down.  ,fear,,
3754,"Oh for crying out loud, Middlesex ahead now. ",disgust,,
3755,- I can hear Any Winehouse's new album playing downstairs #CantBelieveShesGone,sadness,,
3756,I think I'm scared of what the future holds I was wishing for some things but now I am used to those ,fear,,
3757,I wish I could go to the black Friday sale at target. I want pointless stuff that I wouldn't buy if it wasn't like &quot;free&quot; ,sadness,,
3758,"Sitting on my bed eating kider chocolate to calm my nerves... I will work out later, right now I need comfort food! ",anger,,
3759,"The feeling that u have knowing everything u worked for is hanging in the balance, all depends on one meeting  ",fear,,
3760,"The Same Niggas Keeping my NAME in they MOUTH, but they aint saying to my face... The taking over these lil guys . #Winning.",fear,,
3761,"It's ok to be afraid, as long as your  out ways your  :)",fear,,
3762,"Well. I just finished watching hair tutorials; I want to try them out, but I think I would need a LOT of practice. ",sadness,,
3764,That even more awkward moment when you have access commas. ,fear,,
3765,It's basically coming a downpour at the track right now... ,sadness,,
3766,Most of the people who call me by my childhood nickname are dead. #randomlatenightthoughts,sadness,,
3767,Just saw the review of the game on the news...that clip of him dropping the ball.... #iantevenmad,anger,,
3768,"You know I spend money cause spending time is hopeless, and know I pop bottles cause i bottle my emotions.  ",fear,,
3769,N E V E R LET A BITCH NOR BITCH NIGGA PUT A N Y IN YO &lt;3 -___-,fear,,
3770,my heart just broke a little because i found out marcus collins is gay. ,sadness,,
3773,"Morning break, cold, wet and windswept, brings a bit of excitement to being up on a roof ",fear,,
3774,I have come to accept that sometimes on the weekend I get in my bed at 9. ,sadness,,
3775,The kitten that i just brought home last night is already lost. I don't understand. ,sadness,,
3777,i& is trusting in the good . fear is putting your trust in the bad ...   ...,fear,,
3778,im well an truely fed up of my dogs doin there business in my room ,anger,,
3779,"I've said it before and I'll say it again, if you live in then #Lucifer will win. It's a battle within you; #Faith overrules Fear!",fear,,
3780,I realized when I have to wake up from a nap before I want I'm cranky as hell!    #frustration lol,anger,,
3781,"Stuck in this Casino while my Mom is gambling,missing my best friend's birthdayy party!!! :(",sadness,,
3782,"I do not want to be awake, moving, or cold. And right now i am all of them ",sadness,,
3784,"is a monster under your bed, intimidating you. He forbids you to move through terror, keeping U from walking in open doors.  #Fearless",fear,,
3786,No lie:  pizza box actually has a reminder for people to tip their delivery guy. ,sadness,,
3787,I just told my mom that I'm &quot;maybe&quot; not going to college next year. She's freaking out... ,fear,,
3789,I want leftover turkey but I'm not allowed to eat. ,sadness,,
3790,"Wow, just got a quick reminder on why I left dis bit. ",sadness,,
3792,3 test today... Passed 2! Yay for me!!!  But Lord I need your help on this next one!  +  + ,fear,,
3794,"Believe me, you want your to fail and your #faith to succeed!  Close every #negative door your fear has opened.  #NoFearHere",fear,,
3795,Can’t participate in the fun run tomorrow. ,sadness,,
3796,Its Lunch &amp; I left my Lemon Juice! ,sadness,,
3797,Great lost my laser and my dignity somewhere in village last night ,fear,,
3798,"I have no idea why but whilst my brother boasts about his good O's results which he did not study for, I'm afraid I'd lose to him. ",fear,,
3799,"I grabbed some money today in case I went to Starfucks or something before rehearsal. Then I realized, no more rehearsal. ",sadness,,
3800,Can't sleep..thinking about the past. ,sadness,,
3804,"Don't believe the Lies , look me in My eyes and please don't Be scared of Me jtm",fear,,
3805,That moment when you realize you've been wearing the same 4 pieces of clothing 24 hours a day for a week....   ,sadness,,
3806,A woman wit dum is deff worth sum #Effort,anger,,
3807,needs to stop getting distracted by Hallmark Movies #ineedalife,sadness,,
3808,i know i smoke too much cause when i bernie and breathe in it makes a wheeze sound :(  #justwantapurebernie,sadness,,
3809,"No matter what the final outcome, we should have peace of mind we tried our best  ",sadness,,
3810,Courage is the path that leads from to action. ~ Christian McCormack #quote #quotes,fear,,
3811,Covers so warm on my body right now. Time to get up.,sadness,,
3812,Fuck you no return policy. ,anger,,
3814,Soon as you make a move in da city here go crab tryna pull u back down! ,fear,,
3815,just deleted my filled tweets. why cant ppl understand?Money wont do good when there will be no air?water?food? earth is home!,anger,,
3817,I do not appreciate how oberweis delivered my milk/juice bottles &amp; my juice bottles had old milk residue floating around in them.. ,disgust,,
3818,is suck a Big x Strong word.,fear,,
3819,"Mufasa! Oh god, oh no, this is like the 500th time he's died. You think he would het smarter and climb on to the ledge with simba. ",sadness,,
3821,"can B a healthy early warning system if it keeps us out of danger,but its important not 2 let our life B ruled by fear",fear,,
3824,Supposedly ferry deckhands used security cameras to look up women's skirts? Why doesn't that surprise me .. ,disgust,,
3825,Not feeling too good today :( ,sadness,,
3826,I hate the smell of bacon &gt;.&lt; ,disgust,,
3828,Waking up in a  mood and taking you out on everyone you talk to,anger,,
3829,This class is pointless and I want to rip my hair out for it making me be awake at this time #imnotlearningsquat,anger,,
3830,At The Meat Market ... Poor Cows And Pigs....,sadness,,
3831, of something u need 2 do? releases chemicals in ur body 2 propel u ahead. Use that boost 2 push thru the #panic. U can!,fear,,
3832,"I am not afraid of tomorrow, for I have seen yesterday and I love today #less",fear,,
3833,ooh look at me i keep copy and pasting jokes off websites because i'm a dick. ,anger,,
3835,Headache :/.  can't wait to sleep in...,sadness,,
3836,That one moment. Katniss and gale. I read it as if it were you and I.   ,sadness,,
3838,I hate it when clothes go out of stock! D: ,sadness,,
3841,My friend Puck was one of the nicest and funniest guys I ever met. Made a huge impression on me. He died yesterday at age 41. ,sadness,,
3842,"why do people say morning twitter?, its not like you can talk to the whole of twitter. ",anger,,
3843,I am just about to go off. Thank God I have batting practice tomorrow. ,anger,,
3844,"did my nails, smudged one. redid that one, smudged two in the process. now I'm left with three smudged nails and a broken nail file ",anger,,
3845,"Jeff's gonna be on Whose Line tonight, and I'M GOING TO MISS IT!!! AGH! :( ",sadness,,
3848,Just got reminded that I have to get to work in an hour. Feel coming soon!,anger,,
3849,Dat Awkward Moment Wen Ur Wit 4 Of Ur Friends At Da Movies &amp; Wen Da Movie Cums On All Dem Start Making Out. And Ur Left Out. :(,sadness,,
3851,I missed  tonight :( I hope the songs are on  tomorrow so I can catch up before two people go home. #nervous,sadness,,
3852,"not afraid of tomorrow, for I have seen yesterday and I love today #less",fear,,
3853,And so the dawning of the much anticipated hen day/night has arrived....dun dun dun!!!!! ,fear,,
3855, cocky Derm.....still a very big fan tho,disgust,,
3857,I can't be cordial w my exes .. cos they can't handle just being friends or the thought of me being w someone else. .,sadness,,
3859,Got a day of skyrim in before my pc went tits up. ,anger,,
3860," Scary ppl killin outta Amazing Intresting Fact  -   Gary, Indiana is the murder capital of the U.S. - probably the world.",fear,,
3861,"The sadness I feel upon realising that I've bought a chocolate based ice cream, and not a vanilla one. ",sadness,,
3862,Was really really really really looking forward to hanging out with someone special today.......then I realised it was tomorrow ,sadness,,
3863,Trying to talk to him late at night but he is still with people ):  ,sadness,,
3865,"Late start or no late start, I still want to sleep more, this bed is way to warm and cozy for me to leave it ",sadness,,
3867,that Kirk Franklin go hard! ,fear,,
3868,I Can Sing . ! Only Wen I Really Like A Song Though . ! Curse You Of Singing In Frnt Of Ppl,fear,,
3870,I might be looking in all the wrong places and looking for all the wrong reason ,sadness,,
3871,We can't choose the cards we've been dealt.. and mine say &quot;FUCK YOUR LIFE&quot; &gt;.&lt; ,sadness,,
3872,"not afraid of tomorrow, for I have seen yesterday and I love today #less",fear,,
3873,"not afraid of tomorrow, for I have seen yesterday and I love today #less",fear,,
3875, - great time to think about how to make  to our world one of  &amp;  free from  ,fear,,
3876,This officially ends my stint at karaoke. RIP Mrs. Kelli's. I will never forget your WOW shots and the many attempts at Afroman. ,sadness,,
3878,i feel so lonely in my basement right now ,sadness,,
3879,Chapter 14 of Mockingjay. Thoughts: I want to give Peeta Mellark a big hug. For as long as it takes. #ButIAmHopeful,sadness,,
3882,How come I was never in a huge food fight growing up? ,sadness,,
3883,"I don't much, but I'm very much afraid of what I'm starting to feel",fear,,
3885,"When I hear people say marriage is hard, I just think about how lazy they are! ",disgust,,
3886,"Just heard the strangest noise outside ever, sounded like a goat yet my minds convinced me its something ready to abduct me ",fear,,
3887,You should anything including God.... God only wants love..,fear,,
3889," i THINK mi DREAM is REAL , then i WAKE up DISAPPOINTED . [tht happened tooh mi this morning] . ugh ",sadness,,
3890, you get inside the building only to realize tht you left your drink in the car... lol,anger,,
3891,"If you post a football status on fb today, you will be buried alive.  ",anger,,
3893,"None of our generation are 'glamorous' like Marilyn Monroe& many people are really beautiful either, theyre just fake pretty, ",sadness,,
3894,losing someone close to me and not knowing how to cope,fear,,
3895,Just watched &quot;Single White Female.&quot; It's the  reason the only roommate I've ever had was my sister...and of course my husband. ,fear,,
3896,"I'm looking right in the eye and sayin' &quot; Get The Fuck Out My Way, I've Got Things To Do!&quot;",fear,,
3897,Damn it feels good not to live in ,fear,,
3898,"After a lunchtime excursion around the Newcastle shops, I can only assume that there's a lot of people without mirrors in their house. ",fear,,
3899,Can't wait for MatchDay tomorrow. Kick some ASS!  #justbringit,anger,,
3900,"Miss you're like 70.. Button your blouse, don't wanna see those tits  #westernciv",disgust,,
3901,"Awwww. Casey doesn't have a hot, bi sister. ",sadness,,
3902,"the strongest, most ancient, most driving emotion known to man, you can relate every belief any human has to Fear....",fear,,
3904,this library trip is taking TOO long yo',anger,,
3905,It's time for me to open my heart and love again. #love,fear,,
3906,I live in constantly....because my  cusions psycho...some people need help....,fear,,
3907,"lOVE CONQUERz All WhEThER YU WAN iT TO OR NOT.. JUZ liK CAN bE AN UNCONTROlAblE EMOTiON, SO CAN #lUV!!! ((..YU'VE JUZ bEEN SERVEd..))",anger,,
3908,"I SWEAR, IF HE IS OUT BECAUSE OF SMIDS HIT ON HIM I WILL GO MURDER SMID. #ijustreallylovejeffskinner",anger,,
3909,"Wow, not a thing from Twitter today &amp; all those tweets &amp; retweets too!! ",sadness,,
3910,My Mind Doesn't Seem In The Right Place Right Now. The Way I Just Middle Fingered An Old Lady. Huff ,anger,,
3912,"Why yes, I AM writing the best script of my entire life because there are two guns to my head, one's called and the other, #future.",fear,,
3917,"Whatever you do, don't mess with my coffee ",anger,,
3920,Twitter on a BlackBerry is so ugly :l,sadness,,
3921,Just tried deep fried pickles for the first time #yucky,disgust,,
3922,The asshole neighbours (foreign) are beating their kids; who are screaming and crying. Sound like infants. Dad called the security. ,anger,,
3923," It Will Rain, Bruno Mars #memories #cries",sadness,,
3925,", updating my UEFI BIOS tomorrow , first time the new one :/ - lets hope #BSoD go away with it -.-",fear,,
3926,Suddenly I feel vulnerable ,fear,,
3928,odio esa sensación de muerte inminente en un examen final ,fear,,
3929,its prolly gonna happen in the morning too &gt;.&lt; ugh whatever idc anymore :/ ,sadness,,
3931,all this romance talk and I've never even been on a date ,sadness,,
3932,"Not afraid of tomorrow, for I have seen yesterday and I love today #less",fear,,
3933,"Those single seats available 4 the Boston game r behind the Bruins bench. C'mon fans, put your $$$ where your mouths r.   ",fear,,
3934,Disappointed with what child is this on carols for a cure ,sadness,,
3935,Missing kourtney and kim take new york wasnt part of the plan ,anger,,
3936,I thought that you would not leave me hanging around and waiting for your texts every day but then you left.  #thoughts,sadness,,
3937,Urgh some proper fat fuck of a bastard bloke just pushed me out of the way getting on the train. I hope you arteries get you! ,anger,,
3938,I'm Really gettin SCARED about this Diabetes Issue! Will I be  by the time I Enter My 40's Too?!? BEFORE!? :-( I Know.. #Weak :-(,fear,,
3939,I'm so upset Clemson won that I will cry myself to sleep tonight :'(  ,sadness,,
3940,hate when disgusting old men hit on mee.. like reallly ! ,disgust,,
3941,&quot;Man should forget his before he lies down to #sleep.&quot;&#xA;- Thomas De Quincey&#xA;#QUOTE,anger,,
3942,i don't even understand the intro to this book ,anger,,
3943,"I like this!........&quot;not afraid of tomorrow, for I have seen yesterday and I love today&quot; #less",fear,,
3947,I really HATE feet . They meigh . Like real talk . Now im really out .,disgust,,
3948,I shall try and keep warm by... Going to the mall with my best friend for the very last time before she moves. ,sadness,,
3950,"I hate getting followed on twitter, following that person, then getting unfollowed ",sadness,,
3952,I just don't understand why some people have to turn simple things into huge ordeals that always end with everyone being pissed of. ,disgust,,
3953,Have been sitting underneath a giant fucking moth for who knows how long. Shoulda seem me bolt out of the room when I saw it. ,fear,,
3954,Going to go to the coin laundry tomorrow - hope I don't leave anything behind nor ruin anything #haha,fear,,
3956,Revenge workouts start tomorrow. is the greatest motivator when channeled correctly.,anger,,
3957,"I may look fine on the outside, but I'm dying on the inside :( #death #razorblades #depression",sadness,,
3958,"it bums me out that now that we have good songs written, we never play shows anymore. ",sadness,,
3960,In school and want something to eat very badly! ,sadness,,
3962,I want to dream again ... so the nightmares will stop.. havent hd this much nightmares in a row :(  #loss,fear,,
3964,"I'm gonna keep it honest, I'm so tired of being subtle ",fear,,
3966,I don't think that I could hate someone as much as I hate you! Gah I want to take a pillow to you in your sleep! #Ihatemyroommate,anger,,
3967,Last day of  today! I i'm so excited at the same time so sad. ,sadness,,
3970,Am I so wrong to be so upset over my things being used in ways they were not intended to do? No longer useable!  #defiant,anger,,
3972,Wahh Vampire Diaries holiday break!!   ,anger,,
3974,I apparently lost my best-friend.. ,sadness,,
3975, lawyer &quot;I believe in his innocence.&quot; What about the innocence of his victims? #PennState,disgust,,
3976,sick of people who suck up to eachother ALL the time ,anger,,
3978,having practically no likes and comments on your profile picture and feeling like a loser ,sadness,,
3979, isn't trending anymore... I suppose that means I'm not allowed to answer any.... ,sadness,,
3980,Rick Perry is so damn ridiculous #equalrightsanyone #separationofchurchandstate,disgust,,
3981,"My glasses actually broke yesterday, so now I'm blind in my own home. #thissucks",sadness,,
3983,"Woah, not annoyed much!  #JustLikeBefore Some people just never change!",anger,,
3987,Smh gonna be in the house my 2 days off instead of celebrating Thanksgiving w/ my babygirl &amp; fam if only he paid me back I would not ,anger,,
3988,"Hey, Laguardia - trust me, the feeling is totally mutual. ",disgust,,
3989,i want my laptop:( and my phone:( and my ipod:( why must this happen all in the same week? #why,sadness,,
3990,Maaaa.... Dove cazzo sono tutti oggi? Mi sembra di essere in io sono leggenda  #friday,fear,,
3991,26 subscribers from 1300 on youtube. o_O too bad i don't upload anymore :( ,sadness,,
3992,This &quot;getting authentic philly cheesesteak&quot; movement is really grinding my gears. Bout to bust out the accent. ,anger,,
3993,That akward moment when you get a text message from the girl that is talking to the boy that broke your heart! ,sadness,,
3995,Tanning makes me despise the press because now ashley is not in the air with some project ,anger,,
3996,IM ALL OUT OF BUTTER PECAN ICE CREAM! WHAT'S A BITCH TO DO? ,sadness,,
3997,The process of spotting and refusing to obey it is the source of all true #empowerment. -Martha Beck,fear,,
3998,I can never eat a whole bag of popcorn no matter how hard i try. ,sadness,,
4000, in awareness rather then looking back in  or looking forward with ,fear,,
4001,always do the things you're afraid to do...overcome ,fear,,
4003,"Don't ask me about being a women's studies major, because i'm not going to be able to give you the answer you want ",anger,,
4006,I want to do my  show on fear. What are tweet people afraid of? ,fear,,
4007,When a Republican says shining city I think they really mean night light. Lots to fear when u choose to live in the dark.  ,fear,,
4008,"If it weren't for the mistakes and drops, the  might rise to the level of an average team.   ",sadness,,
4010,factor tears for rachel crow:(,fear,,
4011,No I don't want the snow to melt! ,sadness,,
4013,If I Had A Gun I'd Shoot You In The Foot. Or Back. ,anger,,
4014,Can't wait to study for an hour to get a C on a vocab quiz  ,anger,,
4016,much of my prayer focuses on my of the world. Like I don't believe 1 John 4.4-He who is in you is greater than he who is in the world,fear,,
4017,"Feeling good, feeling right 2am winter night ha ... Covering all the ",sadness,,
4018,"Random: I hope my body don't go to hell after i have a baby, ugggghggggggg :-(",fear,,
4019,I'm forcing myself to eat right now so I don't collapse on stage ,fear,,
4020,OAP women DOMINATE the Post Office queue &amp; guard it with their lives. ,fear,,
4022,Last christmas carol show... ,sadness,,
4023,Is it  bad that i have the feeling to grab this kids's ceramics pot and break it? ,anger,,
4024,"One of my favorite ska bands coming to DC, I can't go ",sadness,,
4025,A bride who just married a basketball player.. two days later he gets fired. ,sadness,,
4026,"it'd actually be kind of cool for a celebrity to follow me, but they'd probably get annoyed and unfollow eventually ",sadness,,
4027,not ever providing my parents with grandchildren i am an only child,fear,,
4028,Seriously does this guy think its right to leave his ear and nose hair to over grow to this extent ,disgust,,
4029,U never know what ur good at till you try! Don't let  control ur life! Attack ur fears! #lawofattraction #DailyLesson,fear,,
4030,I hate to say this but Edward Cullen seems less handsome in this movie. :(,sadness,,
4033,I'll never have a chance with Chris not because we've an ocean of distance between us but because he likes girls with big foreheads ,sadness,,
4035,Fuck so many people smoke. ,disgust,,
4036,"I'm not afraid of tomorrow, for I have seen yesterday and I love today #less #faith",fear,,
4037,"Should i be happy that i finally got the sign i always wanted, or be sad that this sign means i have to end it and let go? ",sadness,,
4038,“I'm not your second choice neither your backup plan. So don't text me when you're bored” ,disgust,,
4039,And suddenly Kwom recalls owning a Legend of Zelda CYOA book.  Whatever did happen to that...  #dork,sadness,,
4040,I'm so angry lately from over-training I am going to kill someone and then laugh in a manic growl... ,anger,,
4041,"After today, my closet will consist of 100 less articles of clothing. Goodbye hoover cheerleading attire. ",sadness,,
4043,The level of  #Dissapointment and #Tiredness I'm feeling right now is unreal.,anger,,
4044,Realizing that church today is going to be my only &quot;me&quot; time I have for a while ,sadness,,
4045,I won't insult your intelligence by suggesting that you really believe what you just said.& #FML,anger,,
4046,Reliving it all...Documentary of   driver of all times... ,sadness,,
4047,Guys who talk about my body in a disrespectful way when they know I got a man me,disgust,,
4049,"There is a really thick black line through twitter, should I be scared? #hope #what",fear,,
4050,l will sleep back nah. Good darky cold nite. ,fear,,
4051,"waiting for the campus escort for over an hour is unacceptable. we're tired and need sleep. vcu, get your act together.  ",anger,,
4053,couldnt watch that scene on This Christmas smh ,disgust,,
4054,"I Cant Wake Up Early For School , But When I Dont Have School , Im Up ",sadness,,
4055,My cousin is cooking a pig head ,disgust,,
4057,I think the only way I'm going to get a &quot;perfect&quot; advent wreath picture is to create my own display. ,sadness,,
4059,Who the hell found our Facebook page using Bing and can I bar them from the premises for using Bing? ,disgust,,
4061,factor is coming back on Monday wahooo I love that show,fear,,
4062,"doubt is the root of all , that would make #Faith the strongest thing on earth!!!",fear,,
4063,When your mother doesn't feel like your mom anymore. Just a ghost like figure that you live with that gets mad at a single hello ,sadness,,
4064,Did this bitch walk past me with a mccafe cup!? ,anger,,
4065,I dip my head out of not #shame. I care about my #friends and not who knows my #name. #thewrongside #fuckyou #scumoftheearth,sadness,,
4066,Refreshing to start the day by falling flat on your ass in this stupid ice   ,sadness,,
4067,Dont release inside me syndrome ,fear,,
4068,Cain's wife &quot;didn't know&quot; he's been giving his mistress money for 13 years.   AS A FRIEND.  Yup.    ,sadness,,
4069,You know what really sucks? That I already know I won't be going to the prom after this year of torture. :( ,sadness,,
4070,I'm so jealous of all the people at home. :(   ,sadness,,
4072,Just lost my wallet for the second time in 3 months...I'm about to punch a hole in the wall #comebackyoulittlebastard,anger,,
4073,"i must admit, i feel like a monster ",anger,,
4075,So what did I do with my today? #zen in the #gym. #personalbest on heavy #shrug and standing bb shoulder press. #iamthewolf,anger,,
4076,Both my parents are dropping me to school today... ,fear,,
4077,How hard is it convince parents to not throw away my pet ?? :(,anger,,
4078,"I hate pigs. And I mean  the animals, not gross people. ",disgust,,
4080,"what you think just by damaging car or putting opsticles will prevent me from my opinions &amp;thoughts,as long i have RED WHITE &amp; blue,NO ",fear,,
4081,Oh! I just raid these red ants can bite in our airways. They get swollen and the person will have to be hospitalized.And i ate many :(,fear,,
4082,I've tweeted myself into a fucking couch coma. at its best,sadness,,
4083,i lost my candy cane walking over to the library :'( #whowantstobringmeacandycane,sadness,,
4085,I hate it when I can't help someone when they're sad. It makes me sad too.  ,sadness,,
4086,Sort of fitting that I would watch Defending Your Life today. ,fear,,
4087,Sorry if I didn't reply to you yesterday the Internet stopped working :( ,sadness,,
4089,Why does walmart have 20+ registers yet less than half are open on a daily basis? #onlyhave2items,anger,,
4090,"Feeling so tired,.. That I can't sleep.. All these emotions running through my body. #happiness",sadness,,
4091,"This bitch at the mall today, lmao. ",disgust,,
4092,The part where David chases down Gary in the woods &amp; snaps his neck- is crazy ,fear,,
4093,"Adjacent to the King, I no human being.",fear,,
4095,I'm scared the day I grow old the day my parents won't be in this world ,fear,,
4096,"Fxck all y'all we ignore feelings here, premature millionaires welcome to our realist year ",fear,,
4100,So who won  tweeps? I missed the end on the plane. ,sadness,,
4101,"Corporate, religious and government agencies do not want you to feel free. They don't want you to get comfortable and enjoy yourself. ",fear,,
4102,An enraged person only gets angrier when you say “I completely understand.”       ,anger,,
4103,Cool acronym for FEAR = False Evidence Appearing Real. ,fear,,
4104,I obey no border; I need no papers; I ask no permission; I have no title; I no man; I have no #religion - #Earth #nature #war,fear,,
4105,I hate it when ppl dont do shit cuz they are scared! Dont live ur life in fear thats stupid! Ur gona die one day accept it n have fun! ,fear,,
4108,"E agora foi aquela hora que eu escuto a escada de madeira ranger e olho procurando algo, checo a porta do sótão, abaixo o som e espero ",fear,,
4110,Happy Thanksgiving to all you Americans! Since I'm Canadian I'm just gonna chill and not eat a feast... ,sadness,,
4114,Am I that boring for people to stop responding........,sadness,,
4115,The main people you look at for..are the ones that  bread on your name! ,sadness,,
4117,speaker asserts she was right that Viet cong oppression in communism was good.      #misstep-in-speaking,anger,,
4118,that moment when you spend an hour reading chapters not included in the filipino coverage......haha..ha ,sadness,,
4119,Brothers college graduation. ,sadness,,
4120, Basketball in 40 minutes.  is going down. the Beak.,fear,,
4121,Homer put the into anyone who even thought about claiming Walker #JediMindTricks #lulz,fear,,
4122,Ugh .. The illiteracy rate of Memphis . .,disgust,,
4125,Listen to your but don't obey it. Seth Godin,fear,,
4126,Mean Girls 2 is the stupidest movie ever. It shouldn't even be qualified to be a movie. ,disgust,,
4129,"I brushed my teeth, then realized I still had some hot chocolate left. ",sadness,,
4130,Every time I see you it gives me a weird feeling in my stomach.. Oh wait no it just makes me want to throw up. ,disgust,,
4131,"&quot;not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;",fear,,
4132,"so afraid of abandonment.,i need to stop thinking so much. ",fear,,
4133,"Trust No nigga bc they your potential, trust No women bc all they #Want is your potential #RealNiggaShit",fear,,
4134,Don't ever test a nigga if ur afraid to die rules the living,fear,,
4135,"Wow, it's been 12 years since the last regular Jethro Tull studio album. ",sadness,,
4136,"L'ultimo pensiero di Beast è stato per Joker. Li amavo, quei due.  ",sadness,,
4137,➨ LET GO OF ANGER - it is an Acid that Burns Away the Delicate Layers... of your H A P P I N E S S ~unk #Creativator,anger,,
4140,False Evidence Appearing Real ,fear,,
4141,"When you something, you'll end up watching others create the value that you #desire but you deserve to endure it because u paused.",fear,,
4142,i'm seeing da in an #artistic way its nt like i don't wanna see da things like it was but i got no drama you make me so fucking happy,anger,,
4143,"Min tey lesa tweets di mas cu un ora bieuw, paso un par di hnd ta pp di  y min wake e episode ainda, ",sadness,,
4144,"I'm done with my candy, how come its so good when you don't have it, but when you do, its not ",sadness,,
4146,I really hate you mam. You take him when the things he loves is icky. Why not let me please him so you can go be good. v.v ,anger,,
4148,About to have jet black hair in about twenty minutes.  Can see how dark it looks already. ,fear,,
4149,Strictly avoid frightening ideas ,fear,,
4150,"Frequent service my add, 52. ",anger,,
4151,I'm going to have to seriously scale back my involvement with the Dems because of my new jobs :( ,sadness,,
4152,uscire di casa con 60 cent con la convinzione di prendere un bueno alla macchinetta e trovare la fila dei bueno vuota #truestory,sadness,,
4153,Boooo. Singing party done. Roommate is here. I was right in the middle of I'm Not Afraid of Anything too. ,sadness,,
4154, God and you'll have no reason to fear anything/anyone else!,fear,,
4155,Hey. Maybe throw that one to Wallace. I didn't need those six fantasy points or anything. S'not like the playoffs are on the line!  ,anger,,
4156,Found my notes when I was experimenting with lucid dreaming. I can. But it scares the hell out of me.  ,fear,,
4157,i dont think i would do a surgery on my self just knowing they put yew to sleep gets em scared wut if yew dont wake up =/ ,fear,,
4158,"In the long run, anytime we avoid doing the right thing out of fear, we die a little inside. - John Ortberg  ",fear,,
4159,I miss football season at ACA :/ ,sadness,,
4160,The last time my phone rang because I got a text  ,sadness,,
4161,what you don't know &amp; #fuck the world don't ask me for #shit,fear,,
4162,Was the surprise in my Kinder Surprise the surprise that there was no surprise in said Kinder surprise? ,sadness,,
